year,CO2,CH4,N2O
1905,298.0631668,947.0600894,280.1742784
1906,298.4273632,952.714049,280.4563492
1907,298.8546282,958.7826205,280.7594161
1908,299.2658894,963.7166704,281.101515
1909,299.6751347,969.0345705,281.4475812
1910,300.107378,974.4281542,281.8186718
1911,300.5506469,979.1112276,282.2327311
1912,301.0659941,983.2565812,282.5378122
1913,301.6143569,985.8979066,282.8878762
1914,302.114647,988.2713486,283.248957
1915,302.6239775,991.1263581,283.5870581
1916,303.1633305,998.1240067,283.8591192
1917,303.6806629,1003.245557,284.1692051
1918,304.1099131,1009.810283,284.3662845
1919,304.4661381,1017.315073,284.4193514
1920,304.8894022,1024.759865,284.5044312
1921,305.2345711,1031.89472,284.621524
1922,305.5707608,1038.799473,284.7595824
1923,305.8879535,1044.834231,285.0636564
1924,306.2381313,1049.159028,285.2087338
1925,306.4122057,1051.87384,285.2628078
1926,306.5442242,1053.318754,285.3098933
1927,306.7583082,1055.494015,285.3649743
1928,306.9013523,1060.368739,285.4650383
1929,307.0584149,1066.393609,285.5301292
1930,307.1744296,1072.378196,285.5842032
1931,307.3675009,1077.233145,285.7772847
1932,307.629627,1081.707966,285.8823536
1933,307.9297775,1086.292895,286.0384173
1934,308.3039916,1091.527726,286.1415026
1935,308.7372733,1096.842392,286.2685746
1936,309.513813,1101.597486,286.4356552
1937,310.2573066,1106.091961,286.6467421
1938,310.77864,1110.407603,286.8938093
1939,311.3270028,1116.691384,287.0969006
1940,311.8242999,1119.906806,287.3359721
1941,312.2695845,1123.031896,287.5880442
1942,312.621778,1127.986454,287.8691384
1943,312.8308837,1132.461276,288.5191902
1944,312.8447975,1136.07599,288.7452918
1945,312.8077067,1139.131133,288.9793585
1946,312.8036314,1143.476194,289.1864171
1947,312.8906009,1149.460781,289.2775089
1948,312.9165481,1155.4555,289.3295993
1949,313.0185442,1160.180199,289.3786684
1950,313.1986353,1163.655631,289.5267365
1951,313.3826968,1168.649984,289.6548156
1952,313.7018748,1174.155689,289.8269011
1953,314.0810977,1183.210223,290.1429685
1954,314.4372922,1194.285142,290.3640347
1955,314.7484682,1206.510207,290.6671321
1956,315.0225972,1220.965009,291.0171961
1957,315.3077517,1235.669201,291.3492852
1958,315.6519433,1247.294291,291.6163414
1959,316.1052298,1257.1988,291.8384452
1960,316.9147851,1264.003455,292.1415121
1961,317.5802141,1269.349981,292.4675892
1962,318.3167443,1282.464573,292.8176532
1963,318.9141264,1300.688662,293.2067492
1964,319.5885653,1317.273468,293.5718278
1965,320.0628645,1330.968139,293.9388901
1966,321.1186469,1342.153165,294.3539565
1967,321.7100123,1354.189144,294.7680464
1968,322.6106429,1371.572901,295.1841199
1969,323.4642393,1389.269036,295.6031841
1970,324.9883785,1411.032553,296.0272837
1971,325.5967862,1431.057912,296.4583414
1972,327.5382469,1449.23183,296.8984322
1973,330.0911828,1462.80736,297.3495094
1974,330.9297527,1476.092362,297.81258
1975,330.9917391,1491.69731,298.2906652
1976,331.7012093,1509.072156,298.7857487
1977,333.5015369,1527.646953,299.2978
1978,335.1507748,1546.861765,299.8308779
1979,336.85,1566.136635,300.385959
1980,338.91,1584.921393,301.062
1981,340.11,1602.636083,301.9035
1982,340.85,1618.720889,303.075
1983,342.53,1632.615266,303.6525
1984,344.07,1644.65,304.3415
1985,345.54,1657.26,304.8985
1986,346.97,1670.07,305.809
1987,348.68,1680.1285,306.011
1988,351.16,1692.913,306.7245
1989,352.79,1706.6845,307.7825
1990,354.06,1714.4015,308.71
1991,355.39,1727.8595,309.418
1992,356.09,1735.4915,309.945
1993,356.83,1737.49,310.264
1994,358.33,1743.083,310.8115
1995,360.17,1748.095,311.415
1996,361.93,1750.236,312.273
1997,363.04,1753.672,313.113
1998,365.7,1764.065,313.8935
1999,367.8,1771.838,314.8905
2000,368.96,1773.143,315.879
2001,370.56,1771.652,316.6235
2002,372.58,1772.554,317.2715
2003,375.14,1776.7495,317.9825
2004,376.95,1776.124,318.6375
2005,378.98,1774.142,319.3485
2006,381.15,1774.364,320.1905
2007,382.9,1781.2975,320.9415
2008,385.02,1787.747,321.8485
2009,386.5,1792.6855,322.554
2010,388.75,1797.9145,323.436
2011,390.62,1803.326,324.446
2012,392.65,1808.372,325.318
2013,395.4,1813.7645,326.2485
2014,397.34,1822.923,327.3695
2015,399.65,1834.0055,328.3025
2016,403.07,1842.1665,329.124
2017,405.22,1849.2365,330.04
2018,407.61,1857.777,331.1905
2019,410.07,1866.101626,332.1264599
2020,412.44,1878.077147,333.2896547
2021,414.7,1894.839152,334.5537243
2022,417.08,1910.941499,335.8463845
2023,419.36,1921.167978,336.9193208
2024,422.79,1928.836596,337.9771468
2025,425.65,1936.310547,339.3564924
